"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test encryption when backend database is using TLS.","0","test_connected_encryption","tests.integration","Sat Aug 17 02:28:13 UTC 2024","skipped","Sat Aug 17 02:28:13 UTC 2024","","test_tls","",""
"Upgrade to an invalid version and test rollback.

    Relies on the charm built in the previous test (test_upgrade_from_edge).
    ","","test_fail_and_rollback","tests.integration","","unknown","","","test_upgrade","",""
"Test the database relation.","902405","test_database_relation","tests.integration","Sat Aug 17 02:13:28 UTC 2024","broken","Sat Aug 17 02:28:30 UTC 2024","","test_charm","",""
"Upgrade mysqlrouter while ensuring continuous writes incrementing.","","test_upgrade_from_edge","tests.integration","","unknown","","","test_upgrade","",""
"Test log rotation.","902306","test_log_rotation","tests.integration","Sat Aug 17 02:13:20 UTC 2024","broken","Sat Aug 17 02:28:22 UTC 2024","","test_log_rotation","",""
"Test that the exporter endpoint works when related with TLS","0","test_exporter_endpoint_with_tls","tests.integration","Sat Aug 17 02:38:23 UTC 2024","skipped","Sat Aug 17 02:38:23 UTC 2024","","test_exporter","",""
"Test the deployment of the charm.","903727","test_build_and_deploy","tests.integration","Sat Aug 17 02:13:22 UTC 2024","broken","Sat Aug 17 02:28:26 UTC 2024","","test_node_port","",""
"Test the database relation.","0","test_tls","tests.integration","Sat Aug 17 02:28:26 UTC 2024","skipped","Sat Aug 17 02:28:26 UTC 2024","","test_node_port","",""
"Test encryption when backend database is using TLS.","904251","test_build_deploy_and_relate","tests.integration","Sat Aug 17 02:13:09 UTC 2024","broken","Sat Aug 17 02:28:13 UTC 2024","","test_tls","",""
"Test the nodeport.","0","test_data_integrator","tests.integration","Sat Aug 17 02:28:26 UTC 2024","skipped","Sat Aug 17 02:28:26 UTC 2024","","test_node_port","",""
"Test the nodeport.","0","test_node_port_and_clusterip_setup","tests.integration","Sat Aug 17 02:28:26 UTC 2024","skipped","Sat Aug 17 02:28:26 UTC 2024","","test_node_port","",""
"Test that exporter endpoint is functional.","1503149","test_exporter_endpoint","tests.integration","Sat Aug 17 02:13:20 UTC 2024","broken","Sat Aug 17 02:38:23 UTC 2024","","test_exporter","",""
"Simple test to ensure that mysql, mysqlrouter and application charms deploy.","","test_deploy_edge","tests.integration","","unknown","","","test_upgrade","",""
